epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.9097,2.00717,3.24492,1.99974,0.01037,0.66667,0.07693,0.05161,1.76517,3.12532,1.77548,4e-05,4e-05,4e-05
2,17.7887,1.83747,3.06229,1.8813,0.01296,0.83333,0.20753,0.10836,1.42718,3.08852,1.57682,9.802e-05,9.802e-05,9.802e-05
3,26.7611,1.70317,2.91568,1.75919,0.01296,0.83333,0.41018,0.18735,1.29389,3.0565,1.48542,0.000153664,0.000153664,0.000153664
4,35.6497,1.65425,2.39145,1.68684,0.01481,0.95238,0.70548,0.31603,1.33977,2.78848,1.38415,0.000206932,0.000206932,0.000206932
5,43.7222,1.66622,1.79108,1.63903,1,0.53428,0.73735,0.42693,1.46578,2.28879,1.25673,0.000257824,0.000257824,0.000257824
6,52.1774,1.53866,1.49597,1.45811,1,0.58977,0.81647,0.47924,1.44032,2.07409,1.18265,0.00030634,0.00030634,0.00030634
7,60.9661,1.74403,1.6007,1.51776,1,0.66991,0.94988,0.52023,1.45092,2.08547,1.20632,0.00035248,0.00035248,0.00035248
8,69.9762,1.50446,1.34037,1.36702,1,0.69612,0.94926,0.4941,1.50859,2.06319,1.21239,0.000396244,0.000396244,0.000396244
9,78.476,1.49484,1.26284,1.34686,1,0.51911,0.9451,0.54124,1.45241,1.95222,1.13285,0.000437632,0.000437632,0.000437632
10,86.6757,1.441,1.18475,1.29433,1,0.76235,0.95455,0.55603,1.48697,1.92758,1.16387,0.000476644,0.000476644,0.000476644
11,94.7841,1.52504,1.1644,1.36284,0.9862,0.85714,0.97315,0.56473,1.458,1.63652,1.13379,0.00051328,0.00051328,0.00051328
12,103.102,1.49882,1.15667,1.2897,1,0.87444,0.98358,0.53551,1.49587,1.49712,1.14247,0.00054754,0.00054754,0.00054754
13,111.08,1.45899,0.99675,1.2943,1,0.89271,0.98759,0.51646,1.55767,1.48396,1.15789,0.000579424,0.000579424,0.000579424
14,119.32,1.42249,0.96983,1.25199,1,0.89456,0.98907,0.50635,1.59046,1.52556,1.21496,0.000608932,0.000608932,0.000608932
15,127.52,1.40771,0.99455,1.29716,1,0.91775,0.98225,0.46903,1.706,1.63227,1.29028,0.000636064,0.000636064,0.000636064
16,135.84,1.42146,0.99379,1.29661,1,0.8988,0.9785,0.52055,1.61787,1.61314,1.2244,0.00066082,0.00066082,0.00066082
17,144.197,1.47521,0.91776,1.27168,1,0.69321,0.93343,0.50082,1.53822,1.88806,1.29181,0.0006832,0.0006832,0.0006832
18,152.217,1.48733,0.99243,1.31894,1,0.6317,0.91521,0.50427,1.53023,1.96007,1.3048,0.000703204,0.000703204,0.000703204
19,160.571,1.47161,0.9626,1.26789,0.99685,0.7619,0.9663,0.55305,1.44332,1.84989,1.26981,0.000720832,0.000720832,0.000720832
20,168.389,1.43558,0.92182,1.25485,0.96963,0.7381,0.96253,0.57993,1.38164,1.74879,1.21859,0.000736084,0.000736084,0.000736084
21,176.591,1.40485,1.0231,1.28867,0.96785,0.71684,0.964,0.59141,1.33838,1.67634,1.18085,0.00074896,0.00074896,0.00074896
22,185.085,1.379,0.86075,1.22454,1,0.71345,0.97856,0.6036,1.3304,1.57271,1.16855,0.00075946,0.00075946,0.00075946
23,193.62,1.36549,0.85043,1.20641,1,0.79895,0.98384,0.60352,1.36611,1.4621,1.16496,0.000767584,0.000767584,0.000767584
